PlayerID,Date,Position,Metric,Value,Time,Impact Load Total (L+R),Average Intensity (L and R)
6,2023-09-19,Guard,RSI-modified (Imp-Mom) [m/s] ,0.52,Pre,91082.64,11.51
6,2023-09-20,Guard,RSI-modified (Imp-Mom) [m/s] ,0.57,Pre,120083.71,13.67
6,2023-09-26,Guard,RSI-modified (Imp-Mom) [m/s] ,0.51,Pre,71023.84,11.45
6,2023-09-27,Guard,RSI-modified (Imp-Mom) [m/s] ,0.49,Pre,78355.9,13.51
6,2023-10-03,Guard,RSI-modified (Imp-Mom) [m/s] ,0.5,Pre,52184.81,13.09
6,2023-10-04,Guard,RSI-modified (Imp-Mom) [m/s] ,0.54,Pre,31839.16,12.18
6,2023-10-10,Guard,RSI-modified (Imp-Mom) [m/s] ,0.44,Pre,94906.43,12.22
6,2023-10-11,Guard,RSI-modified (Imp-Mom) [m/s] ,0.43,Pre,86797.15,14.75
6,2023-10-25,Guard,RSI-modified (Imp-Mom) [m/s] ,0.52,Pre,135144.47,17.92
7,2023-09-19,Guard,RSI-modified (Imp-Mom) [m/s] ,0.59,Pre,85400.92,11.8
7,2023-09-27,Guard,RSI-modified (Imp-Mom) [m/s] ,0.6,Pre,30938.41,9.28
7,2023-10-04,Guard,RSI-modified (Imp-Mom) [m/s] ,0.51,Pre,27896.7,9.41
7,2023-10-11,Guard,RSI-modified (Imp-Mom) [m/s] ,0.6,Pre,74260.73,12.09
7,2023-10-18,Guard,RSI-modified (Imp-Mom) [m/s] ,0.51,Pre,103427.28,11.93
7,2023-10-24,Guard,RSI-modified (Imp-Mom) [m/s] ,0.64,Pre,92105.03,11.52
8,2023-09-19,Guard,RSI-modified (Imp-Mom) [m/s] ,0.53,Pre,131772.22,17.38
8,2023-09-20,Guard,RSI-modified (Imp-Mom) [m/s] ,0.39,Pre,112203.27,15.49
9,2023-09-19,Forward,RSI-modified (Imp-Mom) [m/s] ,0.48,Pre,90657.98,11.65
9,2023-09-27,Forward,RSI-modified (Imp-Mom) [m/s] ,0.48,Pre,93806.72,14.92
9,2023-10-03,Forward,RSI-modified (Imp-Mom) [m/s] ,0.52,Pre,100562.37,14.25
9,2023-10-04,Forward,RSI-modified (Imp-Mom) [m/s] ,0.45,Pre,40753.63,11.41
9,2023-10-17,Forward,RSI-modified (Imp-Mom) [m/s] ,0.46,Pre,128694.6,14.22
9,2023-10-18,Forward,RSI-modified (Imp-Mom) [m/s] ,0.48,Pre,139110.55,15.72
9,2023-10-18,Forward,RSI-modified (Imp-Mom) [m/s] ,0.48,Pre,139110.55,15.72
9,2023-10-25,Forward,RSI-modified (Imp-Mom) [m/s] ,0.53,Pre,72515.8,10.64
10,2023-09-19,Guard,RSI-modified (Imp-Mom) [m/s] ,0.42,Pre,95542.01,11.71
10,2023-09-20,Guard,RSI-modified (Imp-Mom) [m/s] ,0.4,Pre,79973.75,11.82
10,2023-09-26,Guard,RSI-modified (Imp-Mom) [m/s] ,0.38,Pre,82329.05,11.96
10,2023-09-27,Guard,RSI-modified (Imp-Mom) [m/s] ,0.43,Pre,92973.26,14.45
10,2023-10-03,Guard,RSI-modified (Imp-Mom) [m/s] ,0.42,Pre,98554.06,13.85
10,2023-10-04,Guard,RSI-modified (Imp-Mom) [m/s] ,0.38,Pre,34248.69,11.14
10,2023-10-17,Guard,RSI-modified (Imp-Mom) [m/s] ,0.37,Pre,113702.59,13.24
10,2023-10-18,Guard,RSI-modified (Imp-Mom) [m/s] ,0.36,Pre,108491.67,12.6
