Metric,Date,Position,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
Eccentric Duration [ms],2023-10-18,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-09-19,Forward,20.78339218079238,3.2905908020069926e-72,29403.0,6.957791404014965e-44,0.6910937966285237
Eccentric Braking RFD / BM [N/s/kg],2023-09-19,Guard,35.63503131613921,1.4311673904176389e-179,0.0,1.9264091383945312e-144,0.614583903322165
Eccentric Braking RFD / BM [N/s/kg],2023-09-19,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-09-26,Forward,inf,0.0,0.0,1.523970604832094e-23,inf
Eccentric Braking RFD / BM [N/s/kg],2023-09-26,Guard,2.379967527626932,0.017662917160104256,47501.0,0.8938053488665183,0.09680736261296506
Eccentric Braking RFD / BM [N/s/kg],2023-09-26,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-09-27,Forward,0.0,1.0,8256.0,0.1722398942634621,0.0
Eccentric Braking RFD / BM [N/s/kg],2023-09-27,Guard,-0.748409439266631,0.4546204834943155,36329.0,4.154588417960107e-05,-0.028385449877680588
Eccentric Braking RFD / BM [N/s/kg],2023-09-27,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-10-03,Forward,12.97345083392558,5.085843008862064e-34,19306.0,1.4643131567096323e-61,0.1746748270288055
Eccentric Braking RFD / BM [N/s/kg],2023-10-03,Guard,27.27150375491626,2.6645047529996707e-127,57722.0,2.292306517047395e-136,0.5890876872879198
Eccentric Braking RFD / BM [N/s/kg],2023-10-03,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-10-04,Forward,2.7091294147563945,0.008677407102845227,1040.0,1.0,0.37302509633761755
Eccentric Braking RFD / BM [N/s/kg],2023-10-04,Guard,4.170931772734229,5.578817426138031e-05,2064.0,8.744755856401428e-07,0.3001796888706737
Eccentric Braking RFD / BM [N/s/kg],2023-10-04,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-10-10,Forward,,,0.0,1.0,
Eccentric Braking RFD / BM [N/s/kg],2023-10-10,Guard,0.5731859161352904,0.5972025468388185,3.0,0.4652088184521418,0.13867921616266987
Eccentric Braking RFD / BM [N/s/kg],2023-10-10,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-10-11,Forward,inf,0.0,0.0,1.523970604832094e-23,inf
Eccentric Braking RFD / BM [N/s/kg],2023-10-11,Guard,-4.168963097738468,3.6076999111587454e-05,60100.0,0.4323983933519868,-0.08882624203518591
