PlayerID,Date,Position,Metric,Value,Time
6,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.7,Pre
6,2023-10-11,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.2,Pre
6,2023-10-25,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.7,Pre
7,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.7,Pre
7,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.2,Pre
7,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.5,Pre
7,2023-10-11,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.5,Pre
7,2023-10-18,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.1,Pre
7,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,20.2,Pre
8,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.4,Pre
8,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,13.0,Pre
9,2023-09-19,Forward,Jump Height (Imp-Mom) in Inches [in] ,14.2,Pre
9,2023-09-27,Forward,Jump Height (Imp-Mom) in Inches [in] ,14.4,Pre
9,2023-10-03,Forward,Jump Height (Imp-Mom) in Inches [in] ,14.3,Pre
9,2023-10-04,Forward,Jump Height (Imp-Mom) in Inches [in] ,13.5,Pre
9,2023-10-17,Forward,Jump Height (Imp-Mom) in Inches [in] ,14.9,Pre
9,2023-10-18,Forward,Jump Height (Imp-Mom) in Inches [in] ,13.7,Pre
9,2023-10-18,Forward,Jump Height (Imp-Mom) in Inches [in] ,13.7,Pre
9,2023-10-25,Forward,Jump Height (Imp-Mom) in Inches [in] ,14.7,Pre
10,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,13.4,Pre
10,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,13.5,Pre
10,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,12.2,Pre
10,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.5,Pre
10,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,13.5,Pre
10,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,12.2,Pre
10,2023-10-17,Guard,Jump Height (Imp-Mom) in Inches [in] ,12.0,Pre
10,2023-10-18,Guard,Jump Height (Imp-Mom) in Inches [in] ,12.1,Pre
11,2023-09-19,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.8,Pre
11,2023-09-20,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.6,Pre
11,2023-09-27,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.1,Pre
11,2023-10-03,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.2,Pre
11,2023-10-24,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.5,Pre
11,2023-10-25,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.8,Pre
12,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.0,Pre
12,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.0,Pre
12,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.8,Pre
12,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.8,Pre
12,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.1,Pre
12,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.2,Pre
12,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.9,Pre
12,2023-10-17,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.4,Pre
12,2023-10-18,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.3,Pre
12,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.9,Pre
13,2023-09-19,Forward,Jump Height (Imp-Mom) in Inches [in] ,10.4,Pre
13,2023-10-04,Forward,Jump Height (Imp-Mom) in Inches [in] ,20.4,Pre
13,2023-10-10,Forward,Jump Height (Imp-Mom) in Inches [in] ,11.7,Pre
13,2023-10-11,Forward,Jump Height (Imp-Mom) in Inches [in] ,9.5,Pre
13,2023-10-17,Forward,Jump Height (Imp-Mom) in Inches [in] ,9.9,Pre
13,2023-10-24,Forward,Jump Height (Imp-Mom) in Inches [in] ,10.4,Pre
14,2023-09-19,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre
14,2023-09-20,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.4,Pre
14,2023-09-26,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.7,Pre
14,2023-09-27,Forward,Jump Height (Imp-Mom) in Inches [in] ,15.6,Pre
14,2023-10-03,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.8,Pre
14,2023-10-04,Forward,Jump Height (Imp-Mom) in Inches [in] ,13.1,Pre
